Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR5642568_2 - polya	(1, 0.0004490328456898626)	(2, 0.0007599017388597674)	(3, 0.001158451601898107)	(4, 0.0018253583727155952)	(5, 0.0032282538906105505)	(6, 0.006174865878007341)	(7, 0.012307219770623925)	(8, 0.018761070552758104)	(9, 0.026105016029011243)	(10, 0.034955479987549304)	(11, 0.04295304723918532)	(12, 0.0501827417547008)	(13, 0.057853498118645375)	(14, 0.06602908430910517)	(15, 0.07302761990405841)	(16, 0.07961963463871255)	(17, 0.08676164818435961)	(18, 0.09302153803314846)	(19, 0.09919906091024272)	(20, 0.10558648671520383)	(21, 0.11210144847633723)	(22, 0.11896182011877052)	(23, 0.12694610237497192)	(24, 0.1325895684355948)	(25, 0.13845356542043225)	(26, 0.1441422004655328)	(27, 0.15167479287695743)	(28, 0.1577699487823571)	(29, 0.16336293186032846)	(30, 0.16907282289812442)	(31, 0.17696411018628352)	(32, 0.18290516014464173)	(33, 0.18971239180533656)	(34, 0.19614764359386228)	(35, 0.20200101258235204)	(36, 0.2080616274996217)	(37, 0.2142790053630198)	(38, 0.22046981323554868)	(39, 0.227465691831415)	(40, 0.234541280399889)	(41, 0.24378498022329154)	(42, 0.25050187391503104)	(43, 0.2569158697108614)	(44, 0.262944600639088)	(45, 0.2689494185755323)	(46, 0.2744387786891137)	(47, 0.28095639744933404)	(48, 0.2875802961730312)	(49, 0.29363825409121397)	(50, 0.3000867908751743)	(51, 0.30670006160252383)	(52, 0.31388458713356165)	(53, 0.3205430268453888)	(54, 0.3274990504549513)	(55, 0.3349094209083775)	(56, 0.34311423408879343)	(57, 0.35061759951026195)	(58, 0.3591704795710647)	(59, 0.3686001693305518)	(60, 0.37696705945527004)	(61, 0.38660133814445014)	(62, 0.39523392817786057)	(63, 0.4026283566367652)	(64, 0.40959766524176233)	(65, 0.40959766524176233)
SRR5642568_2 - polyg	(1, 0.09651549183245123)	(2, 0.1011785252299998)	(3, 0.10470436301834565)	(4, 0.1069654692413165)	(5, 0.10853044170351371)	(6, 0.10991473822780021)	(7, 0.11085000190639685)	(8, 0.11162850263886506)	(9, 0.11235386338959484)	(10, 0.11330506906271301)	(11, 0.11416327976778891)	(12, 0.11520482340986243)	(13, 0.11730385268853102)	(14, 0.1181726913899546)	(15, 0.11945336494985113)	(16, 0.12113524537187292)	(17, 0.1221821030121203)	(18, 0.12314659368067309)	(19, 0.12427316129352813)	(20, 0.12504369102873558)	(21, 0.1257743657776392)	(22, 0.12658209350006358)	(23, 0.12762098014305018)	(24, 0.12880068773764367)	(25, 0.13012653028201787)	(26, 0.13158256578165126)	(27, 0.1329482633123293)	(28, 0.13415454089779202)	(29, 0.13512168856543172)	(30, 0.13615260421115757)	(31, 0.13708255389158036)	(32, 0.13841902443230225)	(33, 0.1396412440122865)	(34, 0.1415250563649144)	(35, 0.1432574197695877)	(36, 0.14441852837057273)	(37, 0.14529799506834398)	(38, 0.14662915161089204)	(39, 0.14789388317626706)	(40, 0.14910813175899051)	(41, 0.15011513441293406)	(42, 0.15133203999474446)	(43, 0.15307237439667853)	(44, 0.1551926596680425)	(45, 0.15670183514941435)	(46, 0.15869192746551913)	(47, 0.1600602819952841)	(48, 0.16141800852870136)	(49, 0.16243032518081876)	(50, 0.16355157879549995)	(51, 0.16480833936361416)	(52, 0.1663626838294637)	(53, 0.16777886434279327)	(54, 0.16912596287986287)	(55, 0.17068827834297315)	(56, 0.17225325080517037)	(57, 0.17379431027558528)	(58, 0.17567812262821317)	(59, 0.1777372969205779)	(60, 0.17941120634533894)	(61, 0.18079815986871237)	(62, 0.1821133744167389)	(63, 0.18369694587254456)	(64, 0.18532037231465406)	(65, 0.18680829180333053)
SRR5642569_1 - polya	(1, 0.0023588022894715207)	(2, 0.004041906006438179)	(3, 0.0077500578694875925)	(4, 0.012940651449184038)	(5, 0.04584921950160269)	(6, 0.07130257997071768)	(7, 0.09413095386422288)	(8, 0.11990987819099931)	(9, 0.14355728065723766)	(10, 0.15889973339596172)	(11, 0.17426470942043593)	(12, 0.1879916282994438)	(13, 0.20057190717662526)	(14, 0.2097614077626914)	(15, 0.21646925177337603)	(16, 0.22377089149929222)	(17, 0.22945904493692404)	(18, 0.23468649480239348)	(19, 0.24130834081294114)	(20, 0.24714801453652863)	(21, 0.2528402631170241)	(22, 0.2585509398404061)	(23, 0.2641100962778325)	(24, 0.2697142992867592)	(25, 0.2752202188669579)	(26, 0.2800197263031743)	(27, 0.2849666588824826)	(28, 0.2898583070331314)	(29, 0.2949526647555317)	(30, 0.2999385011920449)	(31, 0.30536047034353847)	(32, 0.3105674444946896)	(33, 0.3157518953600905)	(34, 0.32066811436792136)	(35, 0.32569285466163933)	(36, 0.33042888738346887)	(37, 0.3353717248199135)	(38, 0.3402244691133576)	(39, 0.34520006769271155)	(40, 0.3500220984146781)	(41, 0.35479908256514425)	(42, 0.3593057872866085)	(43, 0.36417286458007536)	(44, 0.3686079043014254)	(45, 0.37347088645202864)	(46, 0.3783154404597453)	(47, 0.3827320520382089)	(48, 0.38712614033092235)	(49, 0.39178027019547856)	(50, 0.39654292134592195)	(51, 0.40132195306782)	(52, 0.40599041593239904)	(53, 0.41048893036813594)	(54, 0.4152536290900111)	(55, 0.42003880352620465)	(56, 0.424924308962558)	(57, 0.4295845815414097)	(58, 0.43417728426301094)	(59, 0.4388559849847492)	(60, 0.4435346857064874)	(61, 0.44821543399965746)	(62, 0.45275694743546285)	(63, 0.4577632595862943)	(64, 0.46228839245064507)	(65, 0.46228839245064507)
SRR5642569_1 - polyg	(1, 0.034550720340748645)	(2, 0.05024535536574796)	(3, 0.06889258839545034)	(4, 0.11544822004103537)	(5, 0.21768755677531662)	(6, 0.23143699894007466)	(7, 0.24176904438510355)	(8, 0.2616427727024738)	(9, 0.2762767657257837)	(10, 0.28472914059639)	(11, 0.2969121906157958)	(12, 0.3114704234961279)	(13, 0.3237578996585572)	(14, 0.3371981585371085)	(15, 0.34780048341113934)	(16, 0.36847685972978816)	(17, 0.38149531889338184)	(18, 0.38909180890548195)	(19, 0.3996941337795128)	(20, 0.41069368751131924)	(21, 0.4180506116658949)	(22, 0.42618151782170344)	(23, 0.4341301901200788)	(24, 0.44017257341541777)	(25, 0.44725102785526416)	(26, 0.4547983761530003)	(27, 0.4603186287332218)	(28, 0.4671698027441348)	(29, 0.47273100675299295)	(30, 0.47950232547806443)	(31, 0.4842055970569846)	(32, 0.4897238020657743)	(33, 0.49431445721594375)	(34, 0.4989133026518405)	(35, 0.502742261229368)	(36, 0.5069193069503072)	(37, 0.5102814192413768)	(38, 0.5147819812485456)	(39, 0.5197862458279452)	(40, 0.5244895174068654)	(41, 0.5300752922729056)	(42, 0.534776516280394)	(43, 0.5389105630012647)	(44, 0.5425859537214047)	(45, 0.5466135267278202)	(46, 0.550794667591623)	(47, 0.5551989937414955)	(48, 0.5591446638906375)	(49, 0.5627361041820725)	(50, 0.5668824363315341)	(51, 0.57046363876581)	(52, 0.5739752237714034)	(53, 0.5780150822064097)	(54, 0.5813075770687971)	(55, 0.5846512612169802)	(56, 0.5884392683658711)	(57, 0.592030708657306)	(58, 0.5955525315200587)	(59, 0.5988859778110827)	(60, 0.6022828988164934)	(61, 0.6053931598214477)	(62, 0.608673369255244)	(63, 0.6118061535459484)	(64, 0.614666610836219)	(65, 0.6175414011265123)
SRR5642569_2 - polya	(1, 0.0005098452865263964)	(2, 0.0008722654299608228)	(3, 0.001335016573555062)	(4, 0.0021724732891747253)	(5, 0.0034563005769339644)	(6, 0.006146809438362418)	(7, 0.012236286876633515)	(8, 0.01840971474360976)	(9, 0.0252793168974092)	(10, 0.0337890237681068)	(11, 0.04137527592304776)	(12, 0.04833087607698418)	(13, 0.05568575266012802)	(14, 0.06338257367238796)	(15, 0.06999827696864011)	(16, 0.0761000398355022)	(17, 0.0831784942753486)	(18, 0.08904888157041357)	(19, 0.09507693186572969)	(20, 0.10142030816154807)	(21, 0.10781282617173044)	(22, 0.1147274748970302)	(23, 0.12273143162406507)	(24, 0.12819230463276346)	(25, 0.133737128070167)	(26, 0.139496946507913)	(27, 0.14684772794819317)	(28, 0.15276930452905396)	(29, 0.15822812996632052)	(30, 0.16395723483258903)	(31, 0.17230108841730815)	(32, 0.17783362642612072)	(33, 0.18403981543600628)	(34, 0.1899941531597764)	(35, 0.19561883188302143)	(36, 0.20164073946404204)	(37, 0.2076851703308128)	(38, 0.21347160719717262)	(39, 0.2203309714938129)	(40, 0.22755070836245578)	(41, 0.23719272223495697)	(42, 0.2442404631033259)	(43, 0.25109982739996617)	(44, 0.2571585912667598)	(45, 0.2635306335626238)	(46, 0.2690672667143)	(47, 0.27547821286736884)	(48, 0.2820345365920979)	(49, 0.28782506860132134)	(50, 0.2943261078973909)	(51, 0.3011342829082353)	(52, 0.3086652506345168)	(53, 0.3157518953600905)	(54, 0.32309858165750704)	(55, 0.33035926995478654)	(56, 0.3387522652538697)	(57, 0.3463610406945608)	(58, 0.35521678713723814)	(59, 0.36468680500946543)	(60, 0.37336850788043696)	(61, 0.3841141627546961)	(62, 0.39367427376992403)	(63, 0.4013936180679341)	(64, 0.4084065502219619)	(65, 0.4084065502219619)
SRR5642569_2 - polyg	(1, 0.10530045602487144)	(2, 0.11020848474697495)	(3, 0.11386544732422853)	(4, 0.11628567675665505)	(5, 0.11790325818780305)	(6, 0.11929151161858577)	(7, 0.1202456799058199)	(8, 0.12101761433562092)	(9, 0.12188168947985441)	(10, 0.12285633348140687)	(11, 0.12390264248307349)	(12, 0.12508409119924108)	(13, 0.12740398963150779)	(14, 0.12838477634735576)	(15, 0.12970955506375165)	(16, 0.13163836735253825)	(17, 0.132793197640092)	(18, 0.13380265035598565)	(19, 0.13505371650083556)	(20, 0.13587274507356872)	(21, 0.1365975853604376)	(22, 0.13746166050467107)	(23, 0.13852844522065602)	(24, 0.1396955609368008)	(25, 0.14102033965319669)	(26, 0.14228573879806944)	(27, 0.14348356808569168)	(28, 0.14465068380183643)	(29, 0.14572361123211688)	(30, 0.14669211251937386)	(31, 0.14766266137806267)	(32, 0.14874377909407044)	(33, 0.14987403852444223)	(34, 0.15161037909863653)	(35, 0.15322181781548905)	(36, 0.1543520772458608)	(37, 0.15528167467591295)	(38, 0.15650202724928536)	(39, 0.15763638182252082)	(40, 0.15877892668148358)	(41, 0.15981090268312736)	(42, 0.16089816311343064)	(43, 0.16231713011569085)	(44, 0.1641374211185903)	(45, 0.1655051988350547)	(46, 0.16724972969497637)	(47, 0.1683656561253253)	(48, 0.16969248241315302)	(49, 0.17071422055763766)	(50, 0.17169091213062196)	(51, 0.17297473941838118)	(52, 0.17446537142075555)	(53, 0.17567548613696882)	(54, 0.17695317071043254)	(55, 0.1784929444271709)	(56, 0.18005114628679575)	(57, 0.18150492200339713)	(58, 0.18318188300606827)	(59, 0.1849857934375131)	(60, 0.18643956915411444)	(61, 0.18776025272764668)	(62, 0.18906865087258792)	(63, 0.1904364285890523)	(64, 0.19172435101967522)	(65, 0.19322522087920874)
SRR5642571_1 - polya	(1, 0.0022830358228514533)	(2, 0.003906029348023494)	(3, 0.008141144940782333)	(4, 0.013370998500582099)	(5, 0.04435372051913131)	(6, 0.06843685024749062)	(7, 0.09011540661943145)	(8, 0.11484175037159167)	(9, 0.13777120843516855)	(10, 0.1535598689496302)	(11, 0.16822664453885772)	(12, 0.18174161827151153)	(13, 0.1943085992423425)	(14, 0.20350244620463617)	(15, 0.21023562556424968)	(16, 0.21731471944247704)	(17, 0.22289796675372556)	(18, 0.22809042414935085)	(19, 0.23464597172913562)	(20, 0.24037880369708203)	(21, 0.24607984892548013)	(22, 0.2520407974948908)	(23, 0.25807466858444167)	(24, 0.26348776334869634)	(25, 0.2692000274263468)	(26, 0.2740540495361931)	(27, 0.27911935997362525)	(28, 0.2839359859192971)	(29, 0.2892107148761062)	(30, 0.29432837994338257)	(31, 0.3001135665411732)	(32, 0.30534715971739046)	(33, 0.3106630244547915)	(34, 0.3160237645892019)	(35, 0.32094883941097974)	(36, 0.3258365180685831)	(37, 0.33105515277913056)	(38, 0.33606623877850966)	(39, 0.3412306490510041)	(40, 0.3461800313794953)	(41, 0.3510882779273946)	(42, 0.35600961313275503)	(43, 0.36081689003738326)	(44, 0.3652838618480238)	(45, 0.37023511398472375)	(46, 0.37490028546548904)	(47, 0.37950749289178387)	(48, 0.38443817713818784)	(49, 0.3891744013308846)	(50, 0.39378160875717944)	(51, 0.3985159631416675)	(52, 0.40332884947092185)	(53, 0.40815669426584605)	(54, 0.41283869402048984)	(55, 0.41783856117061663)	(56, 0.42267575500658444)	(57, 0.42748677152763015)	(58, 0.4319705716121492)	(59, 0.4368189842973694)	(60, 0.44153277079156145)	(61, 0.4463063911484326)	(62, 0.4510201776426247)	(63, 0.45614532194273594)	(64, 0.46058985605487185)	(65, 0.46058985605487185)
SRR5642571_1 - polyg	(1, 0.03213639368333164)	(2, 0.04900206372601805)	(3, 0.06922777911978067)	(4, 0.12104951362455384)	(5, 0.2487218879244065)	(6, 0.26480597813584644)	(7, 0.2773542610245902)	(8, 0.3013008947537127)	(9, 0.31934454396789497)	(10, 0.3290451089547527)	(11, 0.3437885466805379)	(12, 0.3611272782000314)	(13, 0.3759511176787917)	(14, 0.39243347703868975)	(15, 0.40476486217522156)	(16, 0.4330344924829129)	(17, 0.44922890137866756)	(18, 0.4583012108073942)	(19, 0.4707260863543622)	(20, 0.48348004814606554)	(21, 0.49234293905541515)	(22, 0.5021631717676313)	(23, 0.5112747471687411)	(24, 0.5185314728267971)	(25, 0.5271568980936389)	(26, 0.5357280989224277)	(27, 0.5420050450791126)	(28, 0.5499816468975273)	(29, 0.556361432505692)	(30, 0.564328685283063)	(31, 0.5699175420189377)	(32, 0.5761739202853268)	(33, 0.5815514886936157)	(34, 0.5869159684444435)	(35, 0.5913735912140404)	(36, 0.5961154248313634)	(37, 0.600000886289091)	(38, 0.6049053932205728)	(39, 0.6105540838191267)	(40, 0.6157951562281787)	(41, 0.6221468947132126)	(42, 0.6274702386834486)	(43, 0.6323822248477654)	(44, 0.6366696950703684)	(45, 0.6412544647981586)	(46, 0.645945813593846)	(47, 0.6508017055119011)	(48, 0.6553004640620899)	(49, 0.6593953440391944)	(50, 0.6643933413811125)	(51, 0.668495700591052)	(52, 0.6727270765673934)	(53, 0.6772744501310091)	(54, 0.6810757702193441)	(55, 0.6850509824710903)	(56, 0.689510475048896)	(57, 0.6936016154095831)	(58, 0.6976628388389307)	(59, 0.7015071645160662)	(60, 0.7053010053715664)	(61, 0.7088293334614276)	(62, 0.7125502517967875)	(63, 0.7161533722149978)	(64, 0.7192516444168527)	(65, 0.7225761634119632)
SRR5642571_2 - polya	(1, 0.0007890590640813377)	(2, 0.001355610951324573)	(3, 0.0020006947833341973)	(4, 0.0031001420100636445)	(5, 0.004900767315064422)	(6, 0.008331865378072135)	(7, 0.015053825888433294)	(8, 0.021676686563732103)	(9, 0.029198924987426943)	(10, 0.037981414143801455)	(11, 0.04605711579727846)	(12, 0.053773814274680545)	(13, 0.061939266722176284)	(14, 0.07060582776960994)	(15, 0.07780084975677816)	(16, 0.08500148116857253)	(17, 0.09306409416458848)	(18, 0.09944761938917068)	(19, 0.10664825080096507)	(20, 0.11388814818514265)	(21, 0.12110560787081555)	(22, 0.12871198766390296)	(23, 0.1370924680554019)	(24, 0.14325348610314598)	(25, 0.14942572300014242)	(26, 0.15608037041498954)	(27, 0.16421777573935442)	(28, 0.17081632890793982)	(29, 0.1771830258586435)	(30, 0.18351793606979888)	(31, 0.19211531421350977)	(32, 0.19837730190452493)	(33, 0.20561158986407635)	(34, 0.21276360626244392)	(35, 0.21937150847207296)	(36, 0.226100948215269)	(37, 0.23286404450622208)	(38, 0.23979916315237773)	(39, 0.24740180332904768)	(40, 0.25490347386244655)	(41, 0.2652061170925133)	(42, 0.2727302253244169)	(43, 0.2801739318033453)	(44, 0.28695011675175947)	(45, 0.29417505567026725)	(46, 0.30055110166201454)	(47, 0.3074226468290736)	(48, 0.3146419763229552)	(49, 0.3213414991348117)	(50, 0.32843555147870884)	(51, 0.33625134979117327)	(52, 0.34414941966482154)	(53, 0.3517931956220834)	(54, 0.35980906341288127)	(55, 0.3678548481350187)	(56, 0.3766074203600536)	(57, 0.3848850613000728)	(58, 0.39438555680859716)	(59, 0.40475738294238667)	(60, 0.414169997465101)	(61, 0.42567866698979445)	(62, 0.43585416326166804)	(63, 0.4443412227210642)	(64, 0.4518391536380456)	(65, 0.4518391536380456)
SRR5642571_2 - polyg	(1, 0.16361943711256288)	(2, 0.16979541362597678)	(3, 0.17488129195370483)	(4, 0.17801135089510803)	(5, 0.180223334006028)	(6, 0.1822558155289105)	(7, 0.18384702231453423)	(8, 0.18510540323900518)	(9, 0.1863843520537721)	(10, 0.18783532322374158)	(11, 0.1891479285862655)	(12, 0.19088311060396096)	(13, 0.19353823826034838)	(14, 0.19477418148631465)	(15, 0.19632986191597265)	(16, 0.19851192809555304)	(17, 0.19995728984089634)	(18, 0.20119884249148878)	(19, 0.20258063075773547)	(20, 0.2035753687247764)	(21, 0.20446726724033754)	(22, 0.2054470467417087)	(23, 0.20666242207737898)	(24, 0.20805729900108674)	(25, 0.20957745307477899)	(26, 0.21105086194325315)	(27, 0.21248126522292668)	(28, 0.21374899518844123)	(29, 0.21471194641593386)	(30, 0.2157141636158097)	(31, 0.2168117410343304)	(32, 0.21821409719087306)	(33, 0.2194706083071353)	(34, 0.22144886539196482)	(35, 0.2232588397380092)	(36, 0.22441251140279164)	(37, 0.22543903610938087)	(38, 0.22673107358160882)	(39, 0.22803993932771532)	(40, 0.2292777523618903)	(41, 0.23037719958861977)	(42, 0.23152713163698474)	(43, 0.23330718905168957)	(44, 0.23529292536935398)	(45, 0.23680560021021133)	(46, 0.23900636447187892)	(47, 0.24035075657395116)	(48, 0.2417979881275032)	(49, 0.24290491458706753)	(50, 0.24394639775932656)	(51, 0.24530948794348603)	(52, 0.24700914360521573)	(53, 0.24843393746026307)	(54, 0.24995783115037276)	(55, 0.2516574868121025)	(56, 0.25322064647459536)	(57, 0.2548660776982721)	(58, 0.25691538749503307)	(59, 0.25903948962014306)	(60, 0.2608494639661874)	(61, 0.2623546595742099)	(62, 0.2638318080591015)	(63, 0.26530521692757564)	(64, 0.26698056508259194)	(65, 0.2685736416764244)
SRR5642572_1 - polya	(1, 0.003278982134113324)	(2, 0.005062837943593405)	(3, 0.00867755203683096)	(4, 0.013892588468560682)	(5, 0.047541883625051955)	(6, 0.07510771568221215)	(7, 0.10100384079599452)	(8, 0.12960596550031817)	(9, 0.154714239616689)	(10, 0.1719574330373095)	(11, 0.18807480528833342)	(12, 0.20211287760584795)	(13, 0.21467596751627668)	(14, 0.22429804546477713)	(15, 0.23112235708724235)	(16, 0.2385778447928611)	(17, 0.24438153125958864)	(18, 0.24979129222761043)	(19, 0.2567991373210635)	(20, 0.262772927980414)	(21, 0.2682543117663823)	(22, 0.27408933321596146)	(23, 0.2797430594076135)	(24, 0.28508791219687124)	(25, 0.290640918800786)	(26, 0.29550007935584405)	(27, 0.30039952774599704)	(28, 0.30553398850753694)	(29, 0.31045581902829816)	(30, 0.31562385298575046)	(31, 0.3209373707921567)	(32, 0.3258905362957695)	(33, 0.3310451409748568)	(34, 0.3363340384375939)	(35, 0.34143268779016056)	(36, 0.34648209645538897)	(37, 0.3514912172855225)	(38, 0.356148938665106)	(39, 0.3609946699417991)	(40, 0.3654554285720297)	(41, 0.3704175469278858)	(42, 0.37506183902910434)	(43, 0.3796456993776805)	(44, 0.3842004629564659)	(45, 0.38897009498909085)	(46, 0.3935808138943969)	(47, 0.39807962214666165)	(48, 0.40269034105196777)	(49, 0.40730329817033467)	(50, 0.412028165941743)	(51, 0.416471018867487)	(52, 0.42118469557359123)	(53, 0.42562531028627437)	(54, 0.43012635675159994)	(55, 0.4348243659662783)	(56, 0.4393007920879347)	(57, 0.44370335717858383)	(58, 0.44791791237212336)	(59, 0.4524211970505097)	(60, 0.4568260003542196)	(61, 0.46152848599501967)	(62, 0.46620411307908977)	(63, 0.47110356146924276)	(64, 0.4756001315084466)	(65, 0.4756001315084466)
SRR5642572_1 - polyg	(1, 0.03697975619100364)	(2, 0.054025986862271266)	(3, 0.07355663403105821)	(4, 0.12297637841414502)	(5, 0.23293530966651319)	(6, 0.2469241412966895)	(7, 0.2577212811021248)	(8, 0.2786731935645376)	(9, 0.2938169431341013)	(10, 0.3024385398444115)	(11, 0.3150061061809619)	(12, 0.3296507342379609)	(13, 0.34226530304878866)	(14, 0.3562295143352958)	(15, 0.3668296913913782)	(16, 0.3936143870903094)	(17, 0.4074398291670452)	(18, 0.4150273714432528)	(19, 0.4257797469874715)	(20, 0.4367805641814422)	(21, 0.44420695511727015)	(22, 0.45260025409537596)	(23, 0.4604317615952138)	(24, 0.46663832641289044)	(25, 0.4738117992728449)	(26, 0.4811553763254222)	(27, 0.48662556904608634)	(28, 0.4935819352391404)	(29, 0.49900512548552717)	(30, 0.5060196852181628)	(31, 0.510771411546301)	(32, 0.5162841303151209)	(33, 0.5210022834473468)	(34, 0.5256689576791737)	(35, 0.5296664062058127)	(36, 0.5337735271724325)	(37, 0.5373860030526093)	(38, 0.5417975209955017)	(39, 0.546770830416662)	(40, 0.5512427801121967)	(41, 0.556748784241834)	(42, 0.5616303269275004)	(43, 0.5657173039765727)	(44, 0.5694819783448858)	(45, 0.573739059586581)	(46, 0.5779491383539989)	(47, 0.5823919912797428)	(48, 0.5865035886724843)	(49, 0.5902055930750941)	(50, 0.5945745849698308)	(51, 0.5983101625683531)	(52, 0.6021061719195178)	(53, 0.6061371936420693)	(54, 0.6095504685598323)	(55, 0.6129592670514736)	(56, 0.6166523186018402)	(57, 0.6200790227979682)	(58, 0.6238302678879163)	(59, 0.6272435428056793)	(60, 0.6306545795103815)	(61, 0.6339022266616432)	(62, 0.6372192584177906)	(63, 0.6405922455004587)	(64, 0.6433340564999733)	(65, 0.6464809840634977)
SRR5642572_2 - polya	(1, 0.0004924068733822056)	(2, 0.0008370916847497495)	(3, 0.001307116427523673)	(4, 0.0020994438510568585)	(5, 0.0033841781479722493)	(6, 0.006345334027447968)	(7, 0.012764529085903266)	(8, 0.01925310874924424)	(9, 0.02652058655775343)	(10, 0.035139945055002855)	(11, 0.04308783963400382)	(12, 0.05075371936734043)	(13, 0.058283068103966516)	(14, 0.0664144961539554)	(15, 0.07323656956335978)	(16, 0.07982139238831636)	(17, 0.08746041356492303)	(18, 0.09351701810752416)	(19, 0.10007498237575081)	(20, 0.10675381014926218)	(21, 0.11325134266484646)	(22, 0.1205546318823289)	(23, 0.1286166753274321)	(24, 0.1344628878423154)	(25, 0.14018823685191395)	(26, 0.14610159575862205)	(27, 0.15398234394579818)	(28, 0.16014190628919742)	(29, 0.1660776473265138)	(30, 0.17172242066592255)	(31, 0.1802410595754347)	(32, 0.18594402645442498)	(33, 0.19264523635854464)	(34, 0.19913829244800726)	(35, 0.20571640063378135)	(36, 0.21226988847588635)	(37, 0.2187965177612614)	(38, 0.22545072519110368)	(39, 0.23273387049103866)	(40, 0.240442276272531)	(41, 0.250473947211163)	(42, 0.2579943430955458)	(43, 0.2650648581547021)	(44, 0.27152657926131313)	(45, 0.27827255342664936)	(46, 0.2844455450484136)	(47, 0.2911959956398714)	(48, 0.2982486049945411)	(49, 0.3047103261011521)	(50, 0.3115950694762597)	(51, 0.3189744579378103)	(52, 0.32683953863356063)	(53, 0.3342435474387803)	(54, 0.34218920380472045)	(55, 0.35031391721552685)	(56, 0.3589825164001145)	(57, 0.36718780548111074)	(58, 0.3767494516769688)	(59, 0.3869691325127104)	(60, 0.39615923534047104)	(61, 0.4071846728781108)	(62, 0.41731258697835844)	(63, 0.42539253612794825)	(64, 0.4326935871323699)	(65, 0.4326935871323699)
SRR5642572_2 - polyg	(1, 0.09238448229874509)	(2, 0.09703325082608527)	(3, 0.10044876395690912)	(4, 0.10279441124465707)	(5, 0.10426044079949956)	(6, 0.10563918004496974)	(7, 0.10661727915255166)	(8, 0.10747451475484886)	(9, 0.1083026535873553)	(10, 0.1092785144818764)	(11, 0.11011784437968697)	(12, 0.11130633551498675)	(13, 0.11341025579216527)	(14, 0.11441968988259879)	(15, 0.11565965991829762)	(16, 0.11741441895798693)	(17, 0.11852009621003606)	(18, 0.11959891490535526)	(19, 0.12085679064554071)	(20, 0.12157525703806657)	(21, 0.122403395870573)	(22, 0.12333001607775589)	(23, 0.12436854693798016)	(24, 0.12544736563329936)	(25, 0.12684177237019534)	(26, 0.12808845704507665)	(27, 0.1293709531289312)	(28, 0.13045424825037205)	(29, 0.13145472948856227)	(30, 0.1324395432353267)	(31, 0.13338630736005702)	(32, 0.1345434635125052)	(33, 0.1356692846821018)	(34, 0.13753371616177168)	(35, 0.13927952234921767)	(36, 0.14028224180046872)	(37, 0.1413274872998755)	(38, 0.1425092637959928)	(39, 0.14372685170108335)	(40, 0.14491981926250477)	(41, 0.14604340221904052)	(42, 0.1471266973404814)	(43, 0.14882102462752833)	(44, 0.15090032456103775)	(45, 0.15235963947669773)	(46, 0.1541837831212727)	(47, 0.15553790202307377)	(48, 0.15683606559835414)	(49, 0.15790145501530836)	(50, 0.15893103302328934)	(51, 0.16023143481163055)	(52, 0.16174894326687206)	(53, 0.16307172718582152)	(54, 0.16438332003946685)	(55, 0.16583592031594435)	(56, 0.16738252554097666)	(57, 0.16900746822313795)	(58, 0.17091218753790274)	(59, 0.17273856939553855)	(60, 0.17433889173403072)	(61, 0.17574896596235248)	(62, 0.17703370025926787)	(63, 0.1783833427349473)	(64, 0.1799545683036487)	(65, 0.1815571288552017)
